respL,graph,trialNum,path,pID,respR,walk,ISI_raw,correct_raw,onset_raw,resp_raw,rt_raw,order
"['s', 'space']",modular,907,img/target_12.png,48,"['j', 'semicolon']",6,0.05000000074505806,1.0,843.0494995117188,"['s', 'space']",0.9120819568634033,906.0
"['s', 'f']",modular,908,img/target_11.png,48,"['j', 'l']",8,0.05000000074505806,1.0,844.049560546875,"['f', 's']",0.6559960842132568,907.0
"['s', 'space']",modular,909,img/target_12.png,48,"['j', 'semicolon']",6,0.05000000074505806,1.0,844.8001708984375,"['s', 'space']",0.665449857711792,908.0
"['a', 'space']",modular,910,img/target_9.png,48,"['space', 'semicolon']",5,0.05000000074505806,1.0,845.56787109375,"['a', 'space']",0.681494951248169,909.0
"['s', 'f']",modular,911,img/target_11.png,48,"['j', 'l']",8,0.05000000074505806,0.0,846.3499145507812,"['f', 's']",0.6107590198516846,910.0
"['s', 'd']",modular,912,img/target_10.png,48,"['j', 'k']",7,0.05000000074505806,1.0,847.3839111328125,"['d', 's']",0.63344407081604,911.0
"['s', 'space']",modular,913,img/target_12.png,48,"['j', 'semicolon']",6,0.05000000074505806,1.0,848.1168823242188,"['s', 'space']",0.8124139308929443,912.0
"['a', 's']",modular,914,img/target_6.png,48,"['space', 'j']",9,0.05000000074505806,1.0,849.0166625976562,"['a', 's']",0.6877908706665039,913.0
"['s', 'f']",modular,915,img/target_11.png,48,"['j', 'l']",8,0.05000000074505806,1.0,849.801025390625,"['f', 's']",0.6793670654296875,914.0
"['a', 'space']",modular,916,img/target_9.png,48,"['space', 'semicolon']",5,0.05000000074505806,1.0,850.5689697265625,"['a', 'space']",0.8404550552368164,915.0
"['s', 'd']",modular,917,img/target_10.png,48,"['j', 'k']",7,0.05000000074505806,1.0,851.502197265625,"['d', 's']",0.6590118408203125,916.0
"['a', 'space']",modular,918,img/target_9.png,48,"['space', 'semicolon']",5,0.05000000074505806,1.0,852.2507934570312,"['a', 'space']",0.6535978317260742,917.0
"['s', 'f']",modular,919,img/target_11.png,48,"['j', 'l']",8,0.05000000074505806,1.0,853.0012817382812,"['f', 's']",0.6311349868774414,918.0
"['a', 's']",modular,920,img/target_6.png,48,"['space', 'j']",9,0.05000000074505806,1.0,853.7186889648438,"['a', 's']",0.7144870758056641,919.0
"['s', 'f']",modular,921,img/target_11.png,48,"['j', 'l']",8,0.05000000074505806,1.0,854.5180053710938,"['f', 's']",0.8983068466186523,920.0
"['s', 'd']",modular,922,img/target_10.png,48,"['j', 'k']",7,0.05000000074505806,1.0,855.5184326171875,"['d', 's']",0.6907989978790283,921.0
"['a', 'space']",modular,923,img/target_9.png,48,"['space', 'semicolon']",5,0.05000000074505806,1.0,856.3017578125,"['a', 'space']",0.7153470516204834,922.0
"['s', 'd']",modular,924,img/target_10.png,48,"['j', 'k']",7,0.05000000074505806,0.0,857.1182861328125,"['d', 's']",0.6031079292297363,923.0
"['s', 'space']",modular,925,img/target_12.png,48,"['j', 'semicolon']",6,0.05000000074505806,1.0,858.4010620117188,"['s', 'space']",0.8080649375915527,924.0
"['a', 's']",modular,926,img/target_6.png,48,"['space', 'j']",9,0.05000000074505806,1.0,859.3020629882812,"['a', 's']",0.6420049667358398,925.0
"['s', 'd']",modular,927,img/target_10.png,48,"['j', 'k']",7,0.05000000074505806,1.0,860.035888671875,"['d', 's']",0.5882928371429443,926.0
"['s', 'space']",modular,928,img/target_12.png,48,"['j', 'semicolon']",6,0.05000000074505806,1.0,860.71875,"['s', 'space']",0.657325029373169,927.0
"['a', 'space']",modular,929,img/target_9.png,48,"['space', 'semicolon']",5,0.05000000074505806,1.0,861.468505859375,"['a', 'space']",0.740196943283081,928.0
"['s', 'space']",modular,930,img/target_12.png,48,"['j', 'semicolon']",6,0.05000000074505806,1.0,862.3026733398438,"['s', 'space']",0.8903889656066895,929.0
"['a', 's']",modular,931,img/target_6.png,48,"['space', 'j']",9,0.05000000074505806,1.0,863.2857055664062,"['a', 's']",0.6266798973083496,930.0
"['s', 'd']",modular,932,img/target_10.png,48,"['j', 'k']",7,0.05000000074505806,1.0,864.0015869140625,"['d', 's']",0.6310598850250244,931.0
"['s', 'f']",modular,933,img/target_11.png,48,"['j', 'l']",8,0.05000000074505806,1.0,864.71923828125,"['f', 's']",0.9767169952392578,932.0
"['s', 'space']",modular,934,img/target_12.png,48,"['j', 'semicolon']",6,0.05000000074505806,1.0,865.7850341796875,"['s', 'space']",0.8315691947937012,933.0
"['a', 'space']",modular,935,img/target_9.png,48,"['space', 'semicolon']",5,0.05000000074505806,1.0,866.703369140625,"['a', 'space']",0.6564791202545166,934.0
"['s', 'space']",modular,936,img/target_12.png,48,"['j', 'semicolon']",6,0.05000000074505806,1.0,867.4526977539062,"['s', 'space']",0.7802379131317139,935.0
