460.1457 	DATA 	Keypress: space
460.2420 	DATA 	Keypress: l
460.4171 	DATA 	Trial 101 - Stimuli img/target_9.png
465.4659 	DATA 	Keypress: semicolon
480.5133 	DATA 	Keypress: semicolon
480.5610 	DATA 	Keypress: space
480.7858 	DATA 	Trial 102 - Stimuli img/target_11.png
485.0252 	DATA 	Keypress: l
486.0096 	DATA 	Keypress: j
491.8094 	DATA 	Keypress: space
491.8108 	DATA 	Mouse: Left button down, pos=(906,152)
491.8451 	DATA 	Mouse:  Left button up, pos=(1026,193)
498.3054 	DATA 	Keypress: l
499.8579 	DATA 	Keypress: j
502.9373 	DATA 	Keypress: l
503.0563 	DATA 	Keypress: j
503.2044 	DATA 	Trial 103 - Stimuli img/target_6.png
504.3768 	DATA 	Keypress: j
504.5603 	DATA 	Keypress: j
505.0732 	DATA 	Keypress: j
506.6724 	DATA 	Keypress: j
507.1122 	DATA 	Keypress: space
507.8641 	DATA 	Keypress: j
509.8561 	DATA 	Keypress: j
509.9920 	DATA 	Keypress: space
510.1386 	DATA 	Trial 104 - Stimuli img/target_8.png
511.1609 	DATA 	Keypress: l
511.7288 	DATA 	Keypress: space
514.3210 	DATA 	Keypress: l
514.4248 	DATA 	Keypress: space
514.6065 	DATA 	Trial 105 - Stimuli img/target_13.png
515.9285 	DATA 	Keypress: k
516.3039 	DATA 	Keypress: space
518.4006 	DATA 	Keypress: l
518.4806 	DATA 	Keypress: space
520.2400 	DATA 	Keypress: k
520.2478 	DATA 	Keypress: l
520.3521 	DATA 	Keypress: space
521.7127 	DATA 	Keypress: l
521.8003 	DATA 	Keypress: l
522.6557 	DATA 	Keypress: l
522.6643 	DATA 	Keypress: k
522.9396 	DATA 	Trial 106 - Stimuli img/target_8.png
524.2477 	DATA 	Keypress: l
524.7283 	DATA 	Keypress: space
526.1124 	DATA 	Keypress: space
527.7683 	DATA 	Keypress: l
527.9116 	DATA 	Keypress: space
528.0407 	DATA 	Trial 107 - Stimuli img/target_9.png
529.0723 	DATA 	Keypress: l
529.5683 	DATA 	Keypress: apostrophe
530.1280 	DATA 	Keypress: space
531.6404 	DATA 	Keypress: apostrophe
531.6479 	DATA 	Keypress: space
534.9915 	DATA 	Keypress: semicolon
535.1762 	DATA 	Keypress: space
