sess,graph,trialNum,resp,path,pID,walk,ISI_raw,correct_raw,onset_raw,resp_raw,rt_raw,typing_raw,order
2,modular,1,i,img/target_8.png,60,3,0.05000000074505806,1.0,0.009435892105102539,['i'],0.6226730346679688,a,0.0
2,modular,2,q,img/target_1.png,60,4,0.05000000074505806,0.0,0.7182888984680176,['q'],2.5378670692443848,a,1.0
2,modular,3,b,img/target_6.png,60,5,0.05000000074505806,1.0,3.3338849544525146,['b'],0.4662339687347412,a,2.0
2,modular,4,q,img/target_1.png,60,4,0.05000000074505806,0.0,3.90044903755188,['q'],2.7237210273742676,a,3.0
2,modular,5,b,img/target_6.png,60,5,,,,'--',,'--',4.0
2,modular,6,r,img/target_4.png,60,7,,,,'--',,'--',
2,modular,7,b,img/target_6.png,60,5,,,,'--',,'--',
2,modular,8,o,img/target_9.png,60,6,,,,'--',,'--',
2,modular,9,e,img/target_3.png,60,9,,,,'--',,'--',
2,modular,10,u,img/target_7.png,60,0,,,,'--',,'--',
2,modular,11,v,img/target_5.png,60,2,,,,'--',,'--',
2,modular,12,u,img/target_7.png,60,0,,,,'--',,'--',
2,modular,13,e,img/target_3.png,60,9,,,,'--',,'--',
2,modular,14,u,img/target_7.png,60,0,,,,'--',,'--',
2,modular,15,e,img/target_3.png,60,9,,,,'--',,'--',
2,modular,16,o,img/target_9.png,60,6,,,,'--',,'--',
2,modular,17,b,img/target_6.png,60,5,,,,'--',,'--',
2,modular,18,p,img/target_10.png,60,8,,,,'--',,'--',
2,modular,19,r,img/target_4.png,60,7,,,,'--',,'--',
2,modular,20,p,img/target_10.png,60,8,,,,'--',,'--',
2,modular,21,o,img/target_9.png,60,6,,,,'--',,'--',
2,modular,22,p,img/target_10.png,60,8,,,,'--',,'--',
2,modular,23,e,img/target_3.png,60,9,,,,'--',,'--',
2,modular,24,r,img/target_4.png,60,7,,,,'--',,'--',
2,modular,25,e,img/target_3.png,60,9,,,,'--',,'--',
2,modular,26,u,img/target_7.png,60,0,,,,'--',,'--',
2,modular,27,e,img/target_3.png,60,9,,,,'--',,'--',
2,modular,28,r,img/target_4.png,60,7,,,,'--',,'--',
2,modular,29,o,img/target_9.png,60,6,,,,'--',,'--',
2,modular,30,r,img/target_4.png,60,7,,,,'--',,'--',
2,modular,31,o,img/target_9.png,60,6,,,,'--',,'--',
2,modular,32,r,img/target_4.png,60,7,,,,'--',,'--',
